,index,Updated_Age,Sex,White_Sharks
1945,4238,10,M,White shark
1570,3240,12,M,White shark
550,1172,13,F,White shark
1415,2853,13,M,White shark
61,123,13,F,White shark
1699,3586,13,M,White shark
2080,4889,13,M,White shark
1801,3836,13,M,White shark
1847,3929,13,M,White shark
1051,2115,14,M,White shark
2079,4888,14,M,White shark
2004,4482,14,M,White shark
1618,3371,15,M,White shark
681,1416,15,M,White shark
1845,3927,15,M,White shark
385,797,15,F,White shark
2158,5598,15,M,White shark
1951,4267,15,F,White shark
40,71,15,F,White shark
1220,2451,15,M,White shark
1088,2186,15,M,White shark
2128,5148,15,M,White shark
1866,3994,16,M,White shark
1865,3991,16,F,White shark
1111,2234,16,M,White shark
1988,4437,16,F,White shark
1822,3882,16,M,White shark
1078,2169,16,M,White shark
1781,3777,16,M,White shark
2076,4874,16,M,White shark
1617,3369,16,M,White shark
1607,3348,16,F,White shark
1340,2682,16,M,White shark
851,1752,16,M,White shark
1462,2962,16,M,White shark
820,1681,16,M,White shark
1633,3439,16,M,White shark
767,1581,17,M,White shark
1323,2657,17,M,White shark
1574,3249,17,M,White shark
1260,2538,17,M,White shark
995,2004,17,M,White shark
1869,3999,17,M,White shark
1531,3139,17,M,White shark
1637,3447,17,M,White shark
1144,2302,17,M,White shark
2051,4768,17,M,White shark
2034,4644,17,M,White shark
226,464,17,M,White shark
70,155,17,F,White shark
2122,5120,17,M,White shark
88,211,17,M,White shark
1978,4399,17,M,White shark
785,1619,18,M,White shark
2092,4936,18,F,White shark
1987,4436,18,M,White shark
2040,4698,18,M,White shark
1420,2862,18,M,White shark
2110,5049,18,M,White shark
1970,4349,18,M,White shark
1900,4095,18,M,White shark
1909,4116,18,M,White shark
1068,2147,18,M,White shark
2038,4672,18,M,White shark
2138,5231,18,M,White shark
2028,4604,18,M,White shark
494,1042,18,M,White shark
2135,5225,18,M,White shark
695,1453,19,M,White shark
1557,3209,19,M,White shark
848,1747,19,M,White shark
1517,3084,19,M,White shark
1504,3055,19,M,White shark
1749,3699,19,M,White shark
1281,2582,19,M,White shark
1081,2174,19,M,White shark
15,34,19,M,White shark
1216,2444,19,F,White shark
1545,3176,19,M,White shark
461,978,19,M,White shark
1538,3161,19,M,White shark
1819,3876,19,M,White shark
1823,3883,19,M,White shark
1960,4303,19,M,White shark
279,591,19,M,White shark
185,401,19,M,White shark
1542,3168,20,M,White shark
741,1537,20,F,White shark
1532,3142,20,M,White shark
1519,3086,20,M,White shark
1829,3897,20,M,White shark
459,972,20,F,White shark
387,799,20,M,White shark
2036,4667,20,M,White shark
242,502,20,F,White shark
2127,5146,20,M,White shark
2012,4518,20,M,White shark
1297,2607,20,M,White shark
1087,2182,20,M,White shark
1258,2533,20,M,White shark
251,524,20,M,White shark
1333,2670,21,M,White shark
1387,2794,21,M,White shark
1399,2825,21,M,White shark
1310,2631,21,F,White shark
1840,3915,21,M,White shark
1827,3890,21,M,White shark
2137,5229,21,M,White shark
1270,2561,21,M,White shark
1349,2707,21,M,White shark
1375,2765,21,M,White shark
1752,3709,21,M,White shark
812,1665,21,M,White shark
1672,3533,21,M,White shark
1996,4459,21,M,White shark
163,372,21,M,White shark
1580,3260,21,M,White shark
1613,3361,21,M,White shark
418,871,21,M,White shark
166,377,22,M,White shark
2089,4919,22,M,White shark
