,ID,Year,Country,Fatal
3398,1970.03.23,1970,USA,N
3377,1970.12.03,1970,USA,N
3379,1970.10.24,1970,USA,N
3380,1970.10.00,1970,USA,N
3389,1970.06.22,1970,USA,N
3385,1970.09.00.c,1970,USA,N
3386,1970.09.00.a,1970,USA,N
3383,1970.09.05,1970,USA,N
3360,1971.07.19,1971,USA,N
3359,1971.07.26,1971,USA,N
3355,1971.09.25,1971,USA,N
3354,1971.10.02,1971,USA,N
3352,1971.10.23,1971,USA,N
3321,1972.10.14.b,1972,USA,Y
3322,1972.10.14.a,1972,USA,N
3326,1972.08.29,1972,USA,N
3324,1972.09.09,1972,USA,N
3332,1972.06.10,1972,USA,N
3333,1972.05.28,1972,USA,N
3339,1972.03.16,1972,USA,N
3327,1972.08.17,1972,USA,N
3308,1973.01.09,1973,USA,N
3300,1973.08.16,1973,USA,N
3291,1973.11.24,1973,USA,N
3288,1973.12.18,1973,USA,N
3253,1974.09.02.a,1974,USA,N
3248,1974.11.01,1974,USA,N
3249,1974.09.28,1974,USA,N
3250,1974.09.14,1974,USA,N
3252,1974.09.02.b,1974,USA,N
3255,1974.09.00,1974,USA,N
3266,1974.05.26,1974,USA,N
3262,1974.07.26,1974,USA,N
3263,1974.07.20,1974,USA,Y
3264,1974.07.02,1974,USA,Y
3265,1974.06.20,1974,USA,N
3270,1974.04.12,1974,USA,N
3261,1974.08.05,1974,USA,N
3218,1975.07.19,1975,USA,N
3199,1975.12.06,1975,USA,N
3204,1975.11.02,1975,USA,N
3211,1975.08.09,1975,USA,N
3213,1975.07.30.b,1975,USA,Y
3215,1975.07.26.b,1975,USA,N
3217,1975.07.23,1975,USA,N
3219,1975.07.15,1975,USA,N
3210,1975.08.12,1975,USA,N
3222,1975.06.23.b,1975,USA,N
3228,1975.05.20,1975,USA,N
3227,1975.05.25,1975,USA,N
3234,1975.03.16,1975,USA,N
3221,1975.07.04,1975,USA,N
3225,1975.06.02.R,1975,USA,N
3224,1975.06.15,1975,USA,N
3223,1975.06.23.a,1975,USA,N
3226,1975.06.00.c,1975,USA,N
3175,1976.08.26,1976,USA,N
3160,1976.12.18,1976,USA,N
3163,1976.11.25,1976,USA,N
3167,1976.10.18,1976,USA,N
3172,1976.09.12.b,1976,USA,Y
3173,1976.09.12.a,1976,USA,Y
3174,1976.09.06,1976,USA,N
3176,1976.08.24,1976,USA,N
3179,1976.07.16,1976,USA,Y
3178,1976.07.21,1976,USA,N
3180,1976.07.12,1976,USA,N
3181,1976.06.23,1976,USA,N
3182,1976.06.10,1976,USA,N
3187,1976.03.12.b,1976,USA,N
3195,1976.01.08,1976,USA,N
3197,1976.00.00.b,1976,USA,Y
3177,1976.07.24,1976,USA,N
3134,1977.12.19.b,1977,USA,N
3133,1977.12.31,1977,USA,N
3142,1977.08.14,1977,USA,N
3146,1977.06.06,1977,USA,N
3145,1977.06.26,1977,USA,N
3150,1977.04.21,1977,USA,N
3144,1977.07.02,1977,USA,N
3131,1978.00.00.b,1978,USA,N
3121,1978.06.21.a,1978,USA,N
3120,1978.06.21.b,1978,USA,N
